대상공항,카테고리,키워드
김포공항,직원관련,보안검색직원(386) · ID체크직원(155) · 기타직원(99)
김포공항,터미널,화장실(50) · 흡연실(26) · 터미널 소음(21)
김포공항,주차장,불법주차(49) · 주차예약(33) · 공식주차대행(23)
김포공항,보안검색,대기줄 혼잡(65) · 기내반입품목(27)
김포공항,ID체크,대기줄 혼잡(36)
김포공항,연계교통,택시(41) · 셔틀버스(19) · 시외버스(12)
김포공항,상업시설,식음료업(70) · 기타업(29)
김포공항,공사업무,공사업무 기타(73)
김포공항,항공사,항공사 기타(34)
김해공항,직원관련,보안검색직원(189) · ID체크직원(103) · 기타직원(57)
김해공항,터미널,컨베이어벨트(25) · 화장실(24) · 실내온습도(14)
김해공항,주차장,주차예약(33) · 주차장 혼잡/만차(32) · 불법주차(24)
김해공항,보안검색,기내반입품목(15) · 대기줄 혼잡(12)
김해공항,ID체크,대기줄 혼잡(61)
김해공항,연계교통,택시(16) · 시내버스(7) · 시외버스(6)
김해공항,상업시설,식음료업(18) · 기타업(13) · 면세점(2)
김해공항,공사업무,공사업무 기타(19)
김해공항,항공사,항공사 기타(31)
제주공항,직원관련,보안검색직원(300) · ID체크직원(109) · 상업시설직원(56)
제주공항,터미널,흡연실(48) · 의자(39) · 교통약자 시설(37)
제주공항,주차장,불법주차(52) · 주차장 혼잡/만차(32) · 주차요금(7)
제주공항,보안검색,기내반입품목(22) · 대기줄 혼잡(14)
제주공항,ID체크,대기줄 혼잡(8)
제주공항,연계교통,시내버스(10) · 택시(8) · 시외버스(2)
제주공항,상업시설,식음료업(44) · 기타업(23) · 면세점(6)
제주공항,공사업무,공사업무 기타(19)
제주공항,항공사,항공사 기타(35)
청주공항,직원관련,보안검색직원(54) · 공식주차대행직원(34) · ID체크직원(21)
청주공항,터미널,흡연실(17) · 화장실(16) · 실내온습도(11)
청주공항,주차장,주차장 혼잡/만차(41) · 공식주차대행(18) · 불법주차(16)
청주공항,보안검색,대기줄 혼잡(10) · 기내반입품목(7)
청주공항,ID체크,대기줄 혼잡(7)
청주공항,연계교통,시내버스(3) · 택시(1) · 셔틀버스(1)
청주공항,상업시설,식음료업(19) · 기타업(11) · 면세점(3)
청주공항,공사업무,공사업무 기타(5)
청주공항,항공사,항공사 기타(10)
대구공항,직원관련,보안검색직원(78) · ID체크직원(17) · 상업시설직원(10)
대구공항,터미널,실내온습도(10) · 화장실(8) · 흡연실(4)
대구공항,주차장,주차장 혼잡/만차(7) · 주차요금(5) · 주차예약(4)
대구공항,보안검색,기내반입품목(12) · 대기줄 혼잡(3)
대구공항,ID체크,대기줄 혼잡(1)
대구공항,연계교통,
대구공항,상업시설,식음료업(4) · 면세점(2)
대구공항,공사업무,공사업무 기타(1)
대구공항,항공사,항공사 기타(7)
광주공항,직원관련,보안검색직원(35) · ID체크직원(19) · 주차안내직원(7)
광주공항,터미널,흡연실(2) · 실내온습도(1) · 엘리베이터(1)
광주공항,주차장,주차장 혼잡/만차(5) · 주차요금(4) · 불법주차(3)
광주공항,보안검색,기내반입품목(3) · 대기줄 혼잡(2)
광주공항,ID체크,대기줄 혼잡(1)
광주공항,연계교통,
광주공항,상업시설,식음료업(1)
광주공항,공사업무,공사업무 기타(3)
광주공항,항공사,항공사 기타(1)
무안공항,직원관련,보안검색직원(3) · 법무부 직원(3) · 상업시설직원(1)
무안공항,터미널,흡연실(3) · 의자(2)
무안공항,주차장,
무안공항,보안검색,
무안공항,ID체크,대기줄 혼잡(1)
무안공항,연계교통,시외버스(2)
무안공항,상업시설,기타업(1) · 식음료업(1)
무안공항,공사업무,공사업무 기타(4)
무안공항,항공사,항공사 기타(2)
여수공항,직원관련,보안검색직원(17) · ID체크직원(4) · 상업시설직원(2)
여수공항,터미널,터미널 청결(1) · 실내온습도(1)
여수공항,주차장,주차장 혼잡/만차(1)
여수공항,보안검색,기내반입품목(4) · 대기줄 혼잡(1)
여수공항,ID체크,
여수공항,연계교통,
여수공항,상업시설,식음료업(5)
여수공항,공사업무,공사업무 기타(2)
여수공항,항공사,항공사 기타(1)
울산공항,직원관련,보안검색직원(11) · ID체크직원(4) · 항공사 직원(3)
울산공항,터미널,교통약자 시설(2) · 실내온습도(2) · 화장실(2)
울산공항,주차장,
울산공항,보안검색,대기줄 혼잡(1) · 기내반입품목(1)
울산공항,ID체크,
울산공항,연계교통,
울산공항,상업시설,
울산공항,공사업무,공사업무 기타(1)
울산공항,항공사,항공사 기타(2)
