pseudo_user,VOC건수,대표공항,주VOC유형,주카테고리
da29b80722834dd5,18,김해공항,VOC기타,공사업무
7e58e992891dac93,16,김해공항,불편불만,ID체크
9086ce1ea6f0fb39,15,김포공항,불편불만,터미널
59775312e3019e18,14,김해공항,불편불만,ID체크
e40fa32b50fcd13b,12,김포공항,불편불만,보안검색
afc0445d53a00f4f,11,김해공항,불편불만,주차장
82dd39700833fa23,8,제주공항,불편불만,주차장
6e502373d3fcff44,8,김포공항,불편불만,주차장
bbb073ad820b35db,8,김해공항,불편불만,ID체크
4f82506a06a90d87,8,김포공항,불편불만,직원관련
455b30da1e83d749,8,제주공항,불편불만,직원관련
1a0086a66b1a8d86,8,김해공항,VOC기타,공사업무
131ef5318bce77f6,8,청주공항,불편불만,주차장
4843ca4a4d082268,7,김포공항,불편불만,직원관련
a48a861ad9e9f957,7,김포공항,불편불만,직원관련
cbe34601405d9ac8,7,김포공항,불편불만,직원관련
d751361068a57f18,7,김해공항,불편불만,ID체크
e6b53f8505f19ac1,7,김포공항,불편불만,직원관련
67463b327cefa3f0,7,김포공항,불편불만,직원관련
ec629a5c2f34c815,7,김포공항,불편불만,직원관련
592994c82e2adbbe,7,김포공항,불편불만,직원관련
868975e121556c1d,7,김해공항,VOC기타,공사업무
ed0359abcbdd3856,6,김포공항,불편불만,직원관련
a4cea8ac75fc3111,6,청주공항,불편불만,직원관련
1554dfb0d50b3710,6,김포공항,불편불만,보안검색
d4c199e87346219b,6,본사,불편불만,주차장
04d65dd15814aad5,6,김포공항,불편불만,직원관련
218a1679f21f9529,6,김포공항,불편불만,직원관련
7f086bd5b4997a12,6,무안공항,VOC기타,기타
bf680e577905f04f,6,김포공항,불편불만,ID체크
681745dd052c10d4,6,김포공항,불편불만,터미널
26379436fabd584d,6,제주공항,불편불만,공사업무
7f8b35ebac1dd416,6,김포공항,불편불만,직원관련
5a332b54f8715db8,6,김포공항,불편불만,주차장
d0280c2566ac4075,6,김포공항,불편불만,공사업무
7ae8d0191ae859c5,6,제주공항,불편불만,주차장
d9e6739a460c795f,6,제주공항,불편불만,항공사
b55142d38819c6f9,6,김포공항,항공기소음,기타
f1eb003587117bab,5,김포공항,불편불만,직원관련
cf747a92f1beb0e5,5,김포공항,불편불만,직원관련
ad4e455a0bff2a05,5,김포공항,불편불만,직원관련
0f75e633b67df076,5,김포공항,불편불만,주차장
ba36bc32c7c2d2ff,5,제주공항,불편불만,직원관련
192043a5482d8322,5,김포공항,불편불만,터미널
1719d6660912dba4,5,김해공항,VOC기타,공사업무
b50f41507a4e892f,5,김포공항,불편불만,주차장
b2859709ba57dea7,5,제주공항,불편불만,터미널
4a77ca28f178fb66,5,김포공항,불편불만,직원관련
47a4fb4dd838a8f4,5,김해공항,불편불만,터미널
adff44a57d75e14b,5,김포공항,불편불만,직원관련
a7bba260be8c6b5c,5,김포공항,불편불만,터미널
fc280fabe061f645,5,김포공항,불편불만,직원관련
3e26eaf469258426,5,김해공항,불편불만,직원관련
6a06f7c9cd07cc0f,5,김포공항,불편불만,기타
6a918d8a92723aed,5,김포공항,불편불만,직원관련
097aaf0dc61617b0,5,김해공항,불편불만,직원관련
60c09b42ea250b46,5,김포공항,불편불만,직원관련
6fcd55f508d01c36,5,김포공항,불편불만,연계교통
799131b926da3f85,5,김포공항,불편불만,직원관련
e88c6fed7fd78cf4,5,김해공항,VOC기타,공사업무
2c2a7dba80cf0dea,5,김해공항,불편불만,터미널
35d6e7fc39081eb9,5,김포공항,불편불만,주차장
fa0695cba42c5486,5,김포공항,불편불만,상업시설
136d139f59294f9a,5,김해공항,불편불만,ID체크
3754cc04fa6ba15a,5,제주공항,불편불만,직원관련
df02ae5c63e1a4c2,5,김해공항,불편불만,직원관련
7220913419caf8e5,5,김포공항,불편불만,직원관련
79af944da75c5222,5,김포공항,불편불만,직원관련
74ed834e59cf8677,5,김포공항,불편불만,직원관련
5888c4f280539f27,5,김해공항,불편불만,기타
d05d42c04c77daf7,5,제주공항,불편불만,직원관련
1e279c17f0cf0119,5,김포공항,불편불만,보안검색
94a9cac79ea41442,5,제주공항,불편불만,직원관련
9bdd4fb6b706e86d,5,김포공항,불편불만,직원관련
cd72f2b40d1b09b0,5,김포공항,불편불만,직원관련
4957f2cbaa0d1109,5,김포공항,불편불만,직원관련
f302af0875f1523b,5,김해공항,불편불만,직원관련
8347e82c152936f6,5,제주공항,불편불만,터미널
5667189c7edfd4b3,5,김해공항,불편불만,직원관련
b10477f8cfdd68eb,5,김포공항,불편불만,직원관련
172fffda067e9d9a,5,여수공항,불편불만,기타
5de70ef59f52828a,5,김포공항,불편불만,직원관련
3048b3af4c4b3854,5,김포공항,불편불만,직원관련
fdaa220a7e19c1ec,4,김포공항,불편불만,공사업무
f5dba986b9393e21,4,김포공항,불편불만,직원관련
9fc885d5df7f2558,4,제주공항,불편불만,직원관련
347fc814d7bc1429,4,김포공항,불편불만,직원관련
434e1d6287e72831,4,청주공항,불편불만,터미널
f23146957668d22e,4,김포공항,불편불만,기타
a4573d79a5978bc9,4,제주공항,불편불만,터미널
4d4abcb40b8f7dde,4,김포공항,불편불만,직원관련
331568d69a1f774a,4,김해공항,불편불만,터미널
1807e607596c5692,4,제주공항,불편불만,직원관련
193d677015f6e34a,4,김해공항,불편불만,주차장
b1a7120d6f6b4d13,4,제주공항,불편불만,직원관련
18a62544500e80b5,4,김해공항,불편불만,직원관련
f47b1baf8dea0859,4,본사,VOC기타,공사업무
c1d2bf4160eb47d8,4,김포공항,불편불만,직원관련
b373a29edca8a566,4,김포공항,불편불만,직원관련
b3488a5ed6324e01,4,제주공항,불편불만,직원관련
c4e71db9f5593a28,4,김포공항,불편불만,직원관련
b5ec5a2eaf480ac8,4,김포공항,불편불만,직원관련
37db8414b31249bf,4,김해공항,불편불만,직원관련
3c78feb71fc8fc39,4,김포공항,불편불만,ID체크
3d859699453ca94b,4,김포공항,불편불만,주차장
00627db754c57018,4,제주공항,불편불만,기타
